이름,주소,전화번호,번호구분,위도,경도,이미지URL,비고
갑곶순교성지,인천광역시 강화군 강화읍 해안동로1366번길 35,032-933-1525,개별 문의처,37.73409113,126.517438,http://tong.visitkorea.or.kr/cms/resource/26/2780626_image2_1.png,
강화 갑곶리 탱자나무,인천광역시 강화군 강화읍 동문로 119,032-930-3124,지자체 대표번호,37.75406697,126.4949911,http://tong.visitkorea.or.kr/cms/resource/80/1579080_image2_1.jpg,
강화 달빛동화마을,인천광역시 강화군 양도면 강화남로921번길 10-6,032-937-9960,개별 문의처,37.68127263,126.4140239,http://tong.visitkorea.or.kr/cms/resource/56/2512556_image2_1.jpg,
강화 덕진진,인천광역시 강화군 불은면 덕진로 34,032-930-7074,지자체 대표번호,37.64971395,126.5237942,http://tong.visitkorea.or.kr/cms/resource/67/1579067_image2_1.jpg,
강화 동막해변,인천광역시 강화군 화도면 해안남로 1481,032-937-4445,지자체 대표번호,37.59274391,126.4581091,http://tong.visitkorea.or.kr/cms/resource/15/2003415_image2_1.jpg,
강화 사기리 탱자나무,인천광역시 강화군 화도면 해안남로1114번길 6,032-930-3621,지자체 대표번호,37.61645063,126.4567111,,추가연락가능번호 : 033-480-2230(양구군청)
강화 서도 중앙교회,인천광역시 강화군 서도면 주문도길 256-1,032-932-7131,개별 문의처,37.64499917,126.2479122,,
강화 석수문,인천광역시 강화군 강화읍 국화리,032-930-7071,지자체 대표번호,37.74358227,126.4608847,http://tong.visitkorea.or.kr/cms/resource/52/2512552_image2_1.jpg,
강화 선원사지,인천광역시 강화군 선원면 선원사지로 222,032-930-3621,지자체 대표번호,37.71883963,126.4925077,http://tong.visitkorea.or.kr/cms/resource/47/1577247_image2_1.jpg,
강화 아르미애월드,인천광역시 강화군 불은면 중앙로 742-2,032-937-3581,개별 문의처,37.70585704,126.4440845,http://tong.visitkorea.or.kr/cms/resource/58/2490358_image2_1.JPG,"추가연락가능번호 : 033-460-8955, 033-460-8956, 033-460-8957"
강화 용두레마을,인천광역시 강화군 내가면 황청포구로385번길 8,032-933-5711,개별 문의처,37.71852262,126.3604293,http://tong.visitkorea.or.kr/cms/resource/15/2512715_image2_1.jpg,"추가연락가능번호 : 033-460-8955, 033-460-8956, 033-460-8957"
강화 원도심 스토리워크,인천광역시 강화군 강화읍 관청길27번길 10,032-930-3125,지자체 대표번호,37.74841147,126.4860896,,
강화 장정리 석조여래입상,인천광역시 강화군 하점면 장정리,032-930-3621,지자체 대표번호,37.77933111,126.4300222,http://tong.visitkorea.or.kr/cms/resource/03/183103_image2_1.jpg,
강화 장정리 오층석탑,인천광역시 강화군 하점면 장정리,032-930-3621,지자체 대표번호,37.77933111,126.4300222,http://tong.visitkorea.or.kr/cms/resource/03/183103_image2_1.jpg,
강화 전등사,인천광역시 강화군 길상면 전등사로 37-41,032-937-0125,개별 문의처,37.63304316,126.49174,http://tong.visitkorea.or.kr/cms/resource/38/2675538_image2_1.jpg,
강화 참성단,인천광역시 강화군 화도면 흥왕리,032-930-4571,지자체 대표번호,37.60518135,126.4203279,http://tong.visitkorea.or.kr/cms/resource/41/217641_image2_1.jpg,
강화 초지진,인천광역시 강화군 길상면 해안동로 58,032-930-7072,지자체 대표번호,37.6326099,126.5322629,http://tong.visitkorea.or.kr/cms/resource/34/1577834_image2_1.jpg,
강화 홍릉,인천광역시 강화군 강화읍 국화리,032-930-7071,지자체 대표번호,37.74358227,126.4608847,,
강화 화문석마을,인천광역시 강화군 송해면 전망대로468번길 11,032-934-1188,개별 문의처,37.80200359,126.4585326,http://tong.visitkorea.or.kr/cms/resource/10/2512610_image2_1.jpg,
강화갯벌 및 저어새번식지,인천광역시 강화군 화도면 여차리,032-930-3582,지자체 대표번호,37.60484481,126.3998646,http://tong.visitkorea.or.kr/cms/resource/06/643606_image2_1.jpg,
국자와 주걱,인천광역시 강화군 양도면 강화남로428번길 46-27,032-937-0749,개별 문의처,37.65125512,126.4437578,,
강화도동부해안도로,인천광역시 강화군 양도면 해안서로 508,032-930-3114,지자체 대표번호,37.67734568,126.4022822,,
