이름,주소,전화번호,위도,경도
길카페,"인천광역시 강화군 길상면 강화동로 331, 1층",070-4406-7640,37.66817128,126.4908935
카페 외포리,"인천광역시 강화군 내가면 해안서로 902, 1층",070-8809-0153,37.70118811,126.3790293
맘커피갤러리,"인천광역시 강화군 화도면 신촌길 45, 1층",,37.62718317,126.4487676
비포티룸(B4 tea 룸),인천광역시 강화군 화도면 해안남로 1523,,37.59374677,126.4535707
아이엠도넛 강화점,"인천광역시 강화군 불은면 해안동로 689, 1층",,37.67977542,126.5168976
커피향기,"인천광역시 강화군 강화읍 강화대로368번길 13, 1층",032-932-6003,37.74485387,126.4901589
COFFEE JIN(커피진),"인천광역시 강화군 길상면 해안남로 488, 2층",032-937-8835,37.59666383,126.5090574
예다움,"인천광역시 강화군 선원면 선원사지로 48-1, 1층",032-932-3022,37.72137373,126.498986
실버카페,"인천광역시 강화군 강화읍 중앙로 17-16, 1층 (강화군노인복지관)",032-886-1855,37.70585704,126.4440845
Hoy Dia,"인천광역시 강화군 화도면 마니산로 627, 1층",032-205-2266,37.63463954,126.4286145
커피알프,"인천광역시 강화군 강화읍 충렬사로 31, 강화비에스종합병원내 1층",032-225-2227,37.73604762,126.485992
카페칼럼(Cafecolumn),인천광역시 강화군 양도면 해안서로 556-2,,37.68183844,126.3954949
마녀키키,"인천광역시 강화군 송해면 전망대로 34-9, 1층 1호",,37.82603428,126.4367784
한글빵카페,인천광역시 강화군 선원면 중앙로 462,,37.7137898,126.4629705
갤러리 도솔,인천광역시 강화군 길상면 길상로210번길 52-67,,37.63764633,126.5026251
GS25강화도서관점,"인천광역시 강화군 강화읍 북문길9번길 19, 1층",,37.74842021,126.4830827
씨유강화마니산점,인천광역시 강화군 화도면 마니산로 567,,37.63186551,126.4330553
더리터 강화군청점,"인천광역시 강화군 강화읍 강화대로 416, 1층",,37.74684524,126.4856126
놀라몬드(NOLAMOND),인천광역시 강화군 길상면 길상로 242-25,0507-1313-8848,37.63437423,126.5051068
허브상회,"인천광역시 강화군 선원면 선원사지로 44-5, 1층",,37.72137373,126.498986
CAFE 602,"인천광역시 강화군 화도면 해안남로1184번길 7, 1층",,37.61056003,126.4556741
비다 건강카페,"인천광역시 강화군 강화읍 갑룡길117번길 18, 1층 102호",032-932-0625,37.74644745,126.5045172
한옥까페(드리우니),인천광역시 강화군 길상면 마니산로 106,,37.63854316,126.48071
